7.153,21.155
23.574,51.669
8.533,27.699
24.798,58.268
12.83,34.868
5.826,18.575
23.614,52.883
25.681,67.593
2.548,10.989
17.497,45.736
12.761,30.297
19.701,41.764
12.61,40.455
11.06,31.05
10.529,33.179
16.404,46.668
12.212,34.912
7.286,20.509
14.918,48.882
24.417,57.907
20.18,52.177
8.484,22.274
16.99,41.429
22.346,70.597
7.996,26.71
18.702,50.016
22.136,67.518
11.399,35.639
18.237,40.645
18.896,44.413
4.362,14.749
25.083,74.88
8.309,27.254
10.45,24.45
11.748,38.372
9.496,26.913
16.182,50.12
10.475,33.063
12.698,34.459
19.345,46.402
12.146,30.573
20.776,61.442
20.011,60.303
16.976,49.939
6.53,20.046
18.777,49.506
24.736,77.606
2.33,7.088
13.663,32.281
14.487,40.57
2.442,11.53
10.349,29.79
4.613,12.197
15.733,45.14
3.278,10.631
13.548,32.618
11.896,37.236
23.709,62.736
3.087,12.659
4.995,12.654
2.585,10.843
19.027,56.284
15.128,43.104
18.442,57.921
23.293,74.26
11.616,36.749
25.914,80.276
7.123,22.744
3.301,12.019
6.952,18.847
8.001,21.766
16.025,46.77
9.875,33.225
3.181,11.746
3.22,9.722
5.145,19.157
3.953,12.519
15.706,49.945
11.652,34.414
6.309,19.571
3.646,10.598
4.481,14.581
16.491,38.74
15.544,36.162
14.099,41.055
17.012,48.531
8.23,20.979
11.483,27.536
25.369,70.008
22.891,51.473
13.394,34.693
17.82,51.756
10.548,24.25
15.339,40.432
5.427,13.449
25.575,78.026
20.978,64.702
23.138,68.658
6.872,23.435
14.41,46.522
17.424,42.377
24.808,69.209
23.932,63.124
15.931,44.722
8.279,28.678
14.94,46.376
4.806,16.36
7.612,21.918
15.285,39.409
9.328,26.462
3.045,11.669
3.016,9.101
21.694,58.514
7.76,20.26
7.689,25.06
18.19,57.632
4.636,14.556
20.943,63.397
13.503,35.526
19.917,44.872
6.307,22.136
19.889,52.076
25.882,73.05
15.733,48.534
3.225,9.008
11.271,30.469
9.484,30.1
12.913,30.535
9.835,22.916
19.322,52.105
17.686,50.348
4.448,11.297
20.248,62.515
